r_A,bulk_Li_vac_c1_s1,bulk_Li_vac_c1_s2,bulk_Li_vac_c2_s1,bulk_Li_vac_c2_s2,bulk_ordered,gb_Sigma3_t1,gb_Sigma3_t1_Li_vac_c1_s1,gb_Sigma3_t1_Li_vac_c1_s2,gb_Sigma3_t1_Li_vac_c2_s1,gb_Sigma3_t1_Li_vac_c2_s2,gb_Sigma3_t2,gb_Sigma3_t2_Li_vac_c1_s1,gb_Sigma3_t2_Li_vac_c1_s2,gb_Sigma3_t2_Li_vac_c2_s1,gb_Sigma3_t2_Li_vac_c2_s2,gb_Sigma3_t3,gb_Sigma3_t3_Li_vac_c1_s1,gb_Sigma3_t3_Li_vac_c1_s2,gb_Sigma3_t3_Li_vac_c2_s1,gb_Sigma3_t3_Li_vac_c2_s2
1.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.275,0.262386,0.0,0.0,0.0,0.0,0.0,0.304107,0.0,0.0,0.0,0.0,0.0,0.364929,0.0,0.0,0.0,0.121643,0.0,0.0,0.244137
2.325,3.098408,15.994483,15.994483,15.994483,15.994483,5.571026,3.261089,16.713079,16.713079,16.713079,16.713079,16.713079,3.319322,16.713079,16.713079,1.392757,1.222908,16.713079,16.713079,1.168747
2.375,8.988231,0.0,0.0,0.0,0.0,8.008402,4.911076,0.0,0.0,0.0,0.0,0.0,4.241384,0.0,0.0,7.563491,6.25046,0.0,0.0,5.320267
2.425,8.77537,29.405189,29.405189,29.405189,29.405189,11.522362,10.491907,25.587406,25.569438,25.569438,25.605249,25.587406,9.796015,25.569438,25.569438,8.961837,10.438377,26.015647,25.999176,10.098854
2.475,10.567453,0.0,0.0,0.0,0.0,8.603413,8.993114,0.0,0.0,0.0,0.0,0.0,9.661174,0.0,0.0,8.193726,8.941725,0.0,0.0,9.798092
2.525,4.828046,0.0,0.0,0.0,0.0,5.904334,7.899876,0.0,0.0,0.0,0.0,0.0,7.109888,0.0,0.0,11.021424,7.406134,0.0,0.0,7.828404
2.575,4.096214,0.0,0.0,0.0,0.0,1.135455,2.516199,0.0,0.0,0.0,0.0,0.0,2.896003,0.0,0.0,1.892424,3.370757,0.0,0.0,3.382543
2.625,1.642358,0.0,0.0,0.0,0.0,0.0,1.370524,0.0,0.0,0.0,0.0,0.0,1.32484,0.0,0.0,0.728408,1.918734,0.0,0.0,1.375316
2.675,0.569353,0.0,0.0,0.0,0.0,0.0,0.439923,0.0,0.0,0.0,0.0,0.0,0.835854,0.0,0.0,0.0,0.307946,0.0,0.0,0.529754
2.725,0.0,0.0,0.0,0.0,0.0,0.0,0.29675,0.0,0.0,0.0,0.0,0.0,0.551106,0.0,0.0,0.337965,0.29675,0.0,0.0,0.382869
2.775,0.058784,0.0,0.0,0.0,0.0,0.0,0.081758,0.0,0.0,0.0,0.0,0.0,0.163516,0.0,0.0,0.0,0.0,0.0,0.0,0.082044
2.825,0.0,0.0,0.0,0.0,0.0,0.0,0.157779,0.0,0.0,0.0,0.0,0.0,0.118334,0.0,0.0,0.314462,0.039445,0.0,0.0,0.118748
2.875,0.054766,0.0,0.0,0.0,0.0,0.0,0.038085,0.0,0.0,0.0,0.0,0.0,0.114254,0.0,0.0,0.30362,0.038085,0.0,0.0,0.152871
2.925,0.0,0.0,0.0,0.0,0.0,0.879986,0.036794,0.0,0.0,0.0,0.0,0.0,0.036794,0.0,0.0,0.586657,0.110381,0.0,0.0,0.184612
2.975,0.0,0.0,0.0,0.0,0.0,0.0,0.106702,0.0,0.0,0.0,0.0,0.0,0.071135,0.0,0.0,0.0,0.14227,0.0,0.0,0.249843
3.025,0.0,0.0,0.0,0.0,0.0,0.0,0.068803,0.0,0.0,0.0,0.0,0.0,0.137606,0.0,0.0,0.0,0.172007,0.0,0.0,0.138087
3.075,0.0,0.0,0.0,0.0,0.0,0.0,0.033292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133167,0.0,0.0,0.100225
3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06447,0.0,0.0,0.0,0.161175,0.51576,0.517564,0.161739
3.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062456,0.0,0.0,0.248955,0.093683,0.0,0.0,0.125348
3.225,0.0,0.0,0.0,0.0,0.0,0.0,0.030267,0.0,0.0,0.0,0.0,0.0,0.121068,0.0,0.0,0.0,0.211869,0.0,0.0,0.182237
3.275,0.0,0.0,0.0,0.0,0.0,0.0,0.08805,0.0,0.0,0.0,0.0,0.0,0.0587,0.0,0.0,0.467967,0.293499,0.0,0.0,0.206167
3.325,0.0,0.0,0.0,0.0,0.0,0.0,0.085421,0.683372,0.685761,0.685761,0.680999,0.683372,0.056948,0.685761,0.685761,0.227,0.056948,0.0,0.0,0.142867
3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.055273,0.0,0.0,0.0,0.0,0.0,0.055273,0.0,0.0,0.0,0.055273,0.0,0.0,0.083199
3.425,0.0,0.0,0.0,0.0,0.0,0.0,0.053671,0.0,0.0,0.0,0.0,0.0,0.107342,0.0,0.0,0.213938,0.241519,0.0,0.0,0.134646
3.475,0.0,0.0,0.0,0.0,0.0,0.0,0.182481,0.0,0.0,0.0,0.0,0.0,0.130344,0.0,0.0,0.207826,0.156412,0.0,0.0,0.130799
3.525,0.036431,0.0,0.0,0.0,0.0,0.0,0.050669,0.0,0.0,0.0,0.0,0.0,0.101338,0.0,0.0,0.201972,0.354682,0.0,0.0,0.3305
3.575,0.177097,0.0,0.0,0.0,0.0,0.589086,0.049262,0.591139,0.593205,0.593205,0.589086,0.591139,0.073892,0.593205,0.593205,0.196362,0.517246,0.0,0.0,0.32132
3.625,0.103347,0.0,0.0,0.0,0.0,0.0,0.143736,0.0,0.0,0.0,0.0,0.0,0.35934,0.0,0.0,0.190983,0.742636,0.383296,0.384636,0.528875
3.675,0.67036,0.0,0.0,0.0,0.0,1.114927,0.32632,0.0,0.0,0.0,0.0,0.0,0.233086,0.0,0.0,1.114927,0.442863,0.0,0.0,0.561362
3.725,0.456739,0.0,0.0,0.0,0.0,0.0,0.77136,0.0,0.0,0.0,0.0,0.0,0.453741,0.0,0.0,0.542599,0.635238,0.362993,0.364262,0.478094
3.775,0.603549,0.0,0.0,0.0,0.0,0.0,0.640612,0.530162,0.532015,0.532015,0.528321,0.530162,0.618522,0.532015,0.532015,0.352214,0.684792,0.0,0.0,0.687186
3.825,0.990103,0.0,0.0,0.0,0.0,0.0,0.839137,0.0,0.0,0.0,0.0,0.0,1.032784,0.0,0.0,0.686132,1.011267,0.0,0.0,0.582972
3.875,1.236044,0.0,0.0,0.0,0.0,2.005619,0.922445,0.0,0.0,0.0,0.0,0.0,0.922445,0.0,0.0,0.66854,0.31447,0.0,0.0,0.673215
3.925,1.32229,0.0,0.0,0.0,0.0,1.954847,1.1443,0.0,0.0,0.0,0.0,0.0,1.266904,0.0,0.0,0.814519,0.613018,0.0,0.0,0.861226
3.975,2.005476,0.0,0.0,0.0,0.0,0.0,1.095771,0.0,0.0,0.0,0.0,0.0,0.836771,0.0,0.0,0.952989,0.936386,0.0,0.0,1.119595
4.025,1.508884,0.0,0.0,0.0,0.0,0.0,1.243598,0.0,0.0,0.0,0.0,0.0,1.107579,0.0,0.0,0.92946,1.224166,0.0,0.0,0.857963
4.075,1.69017,0.0,0.0,0.0,0.0,2.720373,1.345969,0.0,0.0,0.0,0.0,0.0,1.364926,0.0,0.0,1.511318,1.004737,0.0,0.0,1.388722
4.125,1.250386,20.325424,20.325424,20.325424,20.325424,0.884942,1.480042,17.6865,17.67408,17.67408,17.698834,17.6865,1.609546,17.67408,17.67408,1.032432,1.239535,17.6865,17.67408,1.039652
4.175,1.116734,0.0,0.0,0.0,0.0,2.591618,1.354504,0.0,0.0,0.0,0.0,0.0,1.408684,0.0,0.0,1.439788,1.119723,0.0,0.0,1.051146
4.225,1.0651,0.0,0.0,0.0,0.0,1.687094,1.481351,0.0,0.0,0.0,0.0,0.0,1.34027,0.0,0.0,0.702956,1.128649,0.282162,0.283149,1.221079
4.275,1.263259,0.0,0.0,0.0,0.0,0.411965,0.999052,0.0,0.0,0.0,0.0,0.0,0.981827,0.0,0.0,1.373218,1.257427,0.0,0.0,1.088971
4.325,1.476224,0.0,0.0,0.0,0.0,1.207486,0.959257,0.0,0.0,0.0,0.0,0.0,0.992915,0.0,0.0,1.207486,0.774137,0.0,0.0,0.827508
4.375,1.419024,0.0,0.0,0.0,0.0,4.326829,1.249942,0.789437,0.792198,0.792198,0.786696,0.789437,1.282836,0.792198,0.792198,1.180044,1.397962,0.0,0.0,1.12228
4.425,1.294662,0.0,0.0,0.0,0.0,2.307055,1.398702,0.0,0.0,0.0,0.0,0.0,1.318317,0.0,0.0,1.538037,1.382625,0.0,0.0,1.613325
4.475,1.604971,0.0,0.0,0.0,0.0,0.0,1.068945,0.0,0.0,0.0,0.0,0.0,1.100385,0.0,0.0,1.629181,1.351902,0.0,0.0,1.482827
4.525,1.326506,0.0,0.0,0.0,0.0,0.0,0.860961,0.0,0.0,0.0,0.0,0.0,0.830213,0.0,0.0,1.470809,1.337565,0.245989,0.246849,1.326814
4.575,1.167903,0.0,0.0,0.0,0.0,0.719418,0.872326,0.0,0.0,0.0,0.0,0.0,1.082887,0.0,0.0,1.079127,1.45889,0.0,0.0,1.101766
4.625,0.973486,8.084164,8.084164,8.084164,8.084164,2.463816,1.089034,7.034568,7.029628,7.029628,7.039473,7.034568,0.868283,7.029628,7.029628,0.703947,1.01545,7.034568,7.029628,1.092841
4.675,0.559237,0.0,0.0,0.0,0.0,0.0,0.950635,0.0,0.0,0.0,0.0,0.0,1.022653,0.0,0.0,0.574142,0.504125,0.115228,0.115631,0.766058
4.725,0.669123,0.0,0.0,0.0,0.0,0.0,0.761418,0.0,0.0,0.0,0.0,0.0,0.81782,0.0,0.0,0.786877,0.606315,0.0,0.0,0.622584
4.775,0.337519,0.0,0.0,0.0,0.0,0.330208,0.938848,0.0,0.0,0.0,0.0,0.0,0.786976,0.0,0.0,0.550346,0.593683,0.0,0.0,0.609614
4.825,0.544451,0.0,0.0,0.0,0.0,0.3234,0.851882,0.0,0.0,0.0,0.0,0.0,0.892447,0.0,0.0,0.431199,0.378614,0.0,0.0,0.583476
4.875,0.609532,0.0,0.0,0.0,0.0,1.900799,0.821251,0.0,0.0,0.0,0.0,0.0,0.609315,0.0,0.0,0.3168,0.556331,0.0,0.0,0.425354
4.925,0.877165,0.0,0.0,0.0,0.0,0.3104,0.687855,0.0,0.0,0.0,0.0,0.0,0.817639,0.0,0.0,0.3104,0.622963,0.415309,0.416761,0.48188
4.975,0.713303,0.0,0.0,0.0,0.0,0.304192,0.483316,0.0,0.0,0.0,0.0,0.0,0.724974,0.0,0.0,0.811179,0.686817,0.305252,0.306319,0.561586
5.025,0.878456,0.0,0.0,0.0,0.0,0.0,0.610882,0.598415,0.600508,0.600508,0.596338,0.598415,0.735552,0.600508,0.600508,0.397558,0.673217,0.299208,0.300254,0.587997
5.075,0.68547,0.0,0.0,0.0,0.0,0.584645,0.782243,0.586682,0.588733,0.588733,0.584645,0.586682,0.67224,0.588733,0.588733,0.876968,0.562237,0.488902,0.490611,0.748182
5.125,0.77557,0.0,0.0,0.0,0.0,0.573293,0.779039,0.0,0.0,0.0,0.0,0.0,0.623231,0.0,0.0,1.051037,0.958818,0.095882,0.096217,1.190686
5.175,0.845173,0.0,0.0,0.0,0.0,0.281134,0.834587,0.0,0.0,0.0,0.0,0.0,0.658266,0.0,0.0,1.030826,0.905115,0.376152,0.377467,1.097013
5.225,0.729586,0.0,0.0,0.0,0.0,0.551559,0.841752,0.0,0.0,0.0,0.0,0.0,1.003184,0.0,0.0,0.827339,0.784098,0.184494,0.185139,1.076119
5.275,0.780895,0.0,0.0,0.0,0.0,0.811729,0.746677,0.0,0.0,0.0,0.0,0.0,0.780617,0.0,0.0,0.811729,0.984257,0.0,0.0,1.067168
5.325,0.766299,0.0,0.0,0.0,0.0,0.0,0.888147,0.0,0.0,0.0,0.0,0.0,0.810434,0.0,0.0,0.70805,0.877045,0.088815,0.089125,0.902393
5.375,1.284852,0.0,0.0,0.0,0.0,0.260602,1.111418,0.0,0.0,0.0,0.0,0.0,1.067833,0.0,0.0,0.694939,1.253069,0.0,0.0,1.235582
5.425,1.553525,0.0,0.0,0.0,0.0,1.023282,1.465397,0.0,0.0,0.0,0.0,0.0,1.272863,0.0,0.0,2.131837,1.422612,0.0,0.0,1.277313
5.475,2.11425,11.537762,11.537762,11.537762,11.537762,3.76754,1.627787,10.039772,10.032722,10.032722,10.046773,10.039772,1.564776,10.032722,10.032722,1.33957,2.058363,10.207802,10.201339,1.717787
5.525,2.224453,5.66494,5.66494,5.66494,5.66494,2.959727,1.969714,3.939427,3.932504,3.932504,3.946302,3.939427,2.320343,3.932504,3.932504,2.13758,1.660334,3.939427,3.932504,1.686837
5.575,2.141037,0.0,0.0,0.0,0.0,3.149115,1.711714,0.0,0.0,0.0,0.0,0.0,1.529402,0.0,0.0,1.614931,1.488888,0.0,0.0,1.321307
5.625,1.402096,0.0,0.0,0.0,0.0,0.237952,1.611775,0.238781,0.239616,0.239616,0.237952,0.238781,1.54213,0.239616,0.239616,1.824301,1.233704,0.0,0.0,1.128194
5.675,0.899591,0.0,0.0,0.0,0.0,0.0,1.045891,0.0,0.0,0.0,0.0,0.0,1.358681,0.0,0.0,1.480593,1.104539,0.078197,0.078471,1.353623
5.725,1.049686,0.0,0.0,0.0,0.0,0.0,1.075726,0.0,0.0,0.0,0.0,0.0,1.008493,0.0,0.0,0.99542,1.210191,0.0,0.0,1.079487
5.775,0.678676,0.0,0.0,0.0,0.0,0.903007,0.858958,0.0,0.0,0.0,0.0,0.0,0.94391,0.0,0.0,0.827757,1.264839,0.0,0.0,1.022987
5.825,1.094004,0.0,0.0,0.0,0.0,0.221893,0.992719,0.0,0.0,0.0,0.0,0.0,1.233941,0.0,0.0,0.665679,1.02983,0.0,0.0,1.228945
5.875,1.337769,10.020156,10.020156,10.020156,10.020156,4.289931,1.103581,8.719202,8.71308,8.71308,8.725283,8.719202,1.285991,8.71308,8.71308,1.308792,0.674917,8.719202,8.71308,0.851173
5.925,1.650556,0.0,0.0,0.0,0.0,2.001683,1.29128,0.430427,0.431932,0.431932,0.428932,0.430427,1.058132,0.431932,0.431932,1.000842,1.156772,0.0,0.0,0.980845
5.975,1.128525,0.0,0.0,0.0,0.0,0.210892,0.978773,0.211627,0.212366,0.212366,0.210892,0.211627,0.784782,0.212366,0.212366,0.77327,0.978773,0.0,0.0,0.955649
6.025,0.79811,0.0,0.0,0.0,0.0,0.829624,1.023299,0.0,0.0,0.0,0.0,0.0,0.884547,0.0,0.0,1.175301,0.719778,0.277505,0.278475,1.070389
6.075,0.870889,0.0,0.0,0.0,0.0,0.816024,0.912696,0.0,0.0,0.0,0.0,0.0,0.972405,0.0,0.0,0.816024,1.074763,0.136478,0.136955,1.001484
6.125,0.977395,0.0,0.0,0.0,0.0,0.602067,0.93142,0.0,0.0,0.0,0.0,0.0,1.07407,0.0,0.0,1.070341,1.695017,0.268518,0.269456,1.094667
6.175,1.175326,0.0,0.0,0.0,0.0,0.0,0.998956,0.79256,0.795331,0.795331,0.789808,0.79256,0.924653,0.795331,0.795331,1.250529,0.932909,0.264187,0.26511,1.226136
6.225,1.121475,0.0,0.0,0.0,0.0,1.942929,1.348541,0.974849,0.978258,0.978258,0.971464,0.974849,1.137324,0.978258,0.978258,1.036229,1.437903,0.38994,0.391303,1.345104
6.275,1.092178,0.0,0.0,0.0,0.0,1.912089,1.087292,0.38375,0.385092,0.385092,0.382418,0.38375,1.143256,0.385092,0.385092,1.147253,1.215209,0.127917,0.128364,1.347822
6.325,1.210765,0.0,0.0,0.0,0.0,1.505582,1.046563,0.0,0.0,0.0,0.0,0.0,1.172466,0.0,0.0,1.317385,1.329844,0.125902,0.126343,1.010741
6.375,0.90224,4.255007,4.255007,4.255007,4.255007,0.555772,1.130909,3.702564,3.699964,3.699964,3.705146,3.702564,1.053449,3.699964,3.699964,0.988039,0.999227,3.950434,3.948701,1.088225
6.425,0.986946,0.0,0.0,0.0,0.0,0.911926,0.8846,0.366041,0.367321,0.367321,0.36477,0.366041,0.97611,0.367321,0.367321,0.911926,0.930355,0.183021,0.183661,1.010133
6.475,0.842194,0.0,0.0,0.0,0.0,0.359159,1.043687,0.0,0.0,0.0,0.0,0.0,1.02867,0.0,0.0,1.197195,0.991127,0.300342,0.301392,0.806223
6.525,0.595421,0.0,0.0,0.0,0.0,0.707351,1.094298,0.0,0.0,0.0,0.0,0.0,1.042541,0.0,0.0,1.061026,0.768966,0.118303,0.118716,0.779075
6.575,0.722528,0.0,0.0,0.0,0.0,0.522475,0.837416,0.524295,0.526129,0.526129,0.522475,0.524295,1.070437,0.526129,0.526129,0.638581,0.684497,0.11651,0.116917,0.657661
6.625,0.691036,0.0,0.0,0.0,0.0,0.686158,0.989789,0.0,0.0,0.0,0.0,0.0,0.824824,0.0,0.0,0.743338,0.78179,0.0,0.0,0.971657
6.675,0.904243,0.0,0.0,0.0,0.0,0.844896,0.798383,0.0,0.0,0.0,0.0,0.0,0.939689,0.0,0.0,1.013875,0.833709,0.339136,0.340322,0.900435
6.725,0.670637,7.647267,7.647267,7.647267,7.647267,1.498283,0.814398,6.654395,6.649722,6.649722,6.659035,6.654395,0.675184,6.649722,6.649722,0.998855,0.828319,6.654395,6.649722,0.90805
6.775,0.710087,3.767405,3.767405,3.767405,3.767405,1.968333,0.610389,3.607467,3.606316,3.606316,3.60861,3.607467,0.761272,3.606316,3.606316,0.601435,0.596672,3.278269,3.275967,0.708875
6.825,0.767749,0.0,0.0,0.0,0.0,0.808166,0.723126,0.0,0.0,0.0,0.0,0.0,0.777191,0.0,0.0,0.915922,0.723126,0.216262,0.217018,0.698527
6.875,0.68958,0.0,0.0,0.0,0.0,0.796454,0.666024,0.0,0.0,0.0,0.0,0.0,0.725966,0.0,0.0,0.743357,0.639383,0.0,0.0,0.828757
6.925,0.63246,0.0,0.0,0.0,0.0,0.313998,0.735214,0.157546,0.158097,0.158097,0.156999,0.157546,0.715521,0.158097,0.158097,0.627995,0.695828,0.0,0.0,0.783896
6.975,0.63273,0.0,0.0,0.0,0.0,0.0,0.666475,0.0,0.0,0.0,0.0,0.0,0.634122,0.0,0.0,0.77378,0.776476,0.20706,0.207784,0.837631
7.025,0.421952,0.0,0.0,0.0,0.0,0.457683,0.631507,0.306185,0.307256,0.307256,0.305122,0.306185,0.663401,0.307256,0.307256,1.017073,0.963207,0.204123,0.204837,0.723331
7.075,0.678275,0.0,0.0,0.0,0.0,1.052886,0.578589,0.301873,0.302928,0.302928,0.300824,0.301873,0.716948,0.302928,0.302928,0.701924,0.918196,0.100624,0.100976,0.776253
7.125,0.864967,0.0,0.0,0.0,0.0,0.593234,0.713122,0.0,0.0,0.0,0.0,0.0,0.682116,0.0,0.0,0.692107,0.899153,0.297651,0.298691,0.684501
7.175,0.721054,0.0,0.0,0.0,0.0,0.438746,0.690987,0.587034,0.589086,0.589086,0.584995,0.587034,0.550344,0.589086,0.589086,0.828743,0.837746,0.440275,0.441815,0.877493
7.225,0.823845,0.0,0.0,0.0,0.0,1.586548,0.81413,0.0,0.0,0.0,0.0,0.0,0.729701,0.0,0.0,0.86539,1.061384,0.385958,0.387307,0.93801
